,Data Bytes,Time
0,64,26.4
1,64,26.4
2,64,26.4
3,64,26.2
4,234,33.8
5,590,41.6
6,846,50.0
7,1060,48.4
8,1082,49.0
9,1088,42.0
10,1088,41.8
11,1088,41.8
12,1088,42.0
